word1,op1,word2,op2,word3,skipgram_ns_word,skipgram_hs_word,cbow_ns_word,cbow_hs_word
rotate,+,uss,-,albania,ms,howitzer,hindered,hence
humber,+,perils,-,lakewood,hamels,arbiter,outlawing,eligibility
alphonso,+,åberget,-,socks,eduardo,brookes,siodmak,duval
coiner,+,digs,-,distributions,fairbairn,gasquet,walsall,kombat
charted,+,merging,-,singles,interacted,closes,regards,rendezvoused
griesemer,+,withdraws,-,tunneling,pellegrini,trilling,1637,sierra
katra,+,workouts,-,arm,palaeoscincus,carpetbagging,benching,attributions
morphemes,+,verso,-,specialise,v1,yuffie,caze,langton
connelly,+,reagent,-,codons,cantor,prokofiev,spooner,granjon
chattanooga,+,trajan,-,pickled,hoste,abruptly,chic,1674
kennington,+,wetter,-,recess,upland,eatonville,susu,kiel
cooing,+,helmand,-,037,stow,amelia,1296,gjirokastër
shallows,+,traded,-,ceremonial,leapt,transferred,madres,daulah
africanus,+,shinplasters,-,quotas,sohn,larsen,lenny,fearless
newsday,+,retina,-,segregation,egm,rediff,untouchables,abridgement
daddy,+,competitions,-,1119,tennis,movies,billed,movies
belmont,+,anthochaera,-,spy,kukruse,graculina,1075,rutgers
sedimentation,+,horrible,-,sect,depressing,nice,stitch,arpeggios
uncompromising,+,embraces,-,saviour,truths,gossip,greenhow,satirizes
pleased,+,available,-,1907,thrilled,unsuitable,262s,universally
pressure,+,fagrskinna,-,development,nadi,fahrenheit,groin,chittagong
playthrough,+,standardisation,-,omloop,timescale,sustaining,prong,predominately
macedonian,+,stilianou,-,sharps,balkan,cheyenne,steine,393d
crosses,+,tomasevich,-,meru,ascends,connect,juggling,intersects
stiffer,+,antebellum,-,overseer,benchmarks,considerably,fittleworth,captivity
emanated,+,protocols,-,counterattacked,observational,mechanism,sacrificing,distanced
arête,+,mechanized,-,melodramas,airlanding,battalion,initiator,deflected
purged,+,stars,-,allentown,weaknesses,fundamentally,imagining,perceive
rubenstein,+,grande,-,heavily,teatro,montague,humphreys,631
giordano,+,feeble,-,archival,mcpherson,burwell,undeniably,primadonna
sinhalese,+,bloated,-,trodden,nonsensical,austere,lilting,rippling
ragnar,+,theft,-,commemorative,alam,henry,anjou,xii
innovative,+,scanning,-,283,intricate,symbolic,arcs,memorable
crystal,+,confuse,-,hours,evoke,showcase,lessen,symbolizing
dougray,+,pitched,-,despuig,scored,appraised,pundits,colepeper
1152,+,catalinas,-,overbearing,levanger,dubrovnik,bhutan,ruins
fossil,+,conglomerates,-,reprinting,ungulates,courtyards,aloof,theorizes
spanked,+,vkj,-,eminently,incognito,wreck,uspto,devour
aplomb,+,sorraia,-,prevents,brians,bilwis,kôr,idealised
paleo,+,damn,-,475,horrible,plotline,alleviated,wrenching
sampy,+,ruber,-,sainsbury,bernardii,tilstoni,charu,lined
rectory,+,shown,-,breyer,displayed,almonry,quickest,worshipped
same,+,saturdays,-,fauchet,weekends,moratorium,77th,fiscal
coxon,+,cabling,-,ensuring,peebles,sheryl,hepburn,halévy
sedgemoor,+,outages,-,takeda,floods,protostars,ail,wasn
742,+,rave,-,popstar,233,442,ld50,preaching
pack,+,pwi,-,ismail,digit,hikes,c64,kilometre
blum,+,fdj,-,fences,maloney,greenedge,iaa,mansfield
tractor,+,numbered,-,π1,hauled,helicopter,wrists,lightweight
thatgamecompany,+,derivation,-,wear,drishyam,foottown,sash,aesthetics
unbearable,+,maya,-,athleticism,obscure,abysmal,brat,lowry
condoms,+,rash,-,barricade,insomnia,benzodiazepines,vikram,benzodiazepines
peterhead,+,ail,-,yen,kelbajar,svan,lycoming,loudspeakers
invaders,+,poisonous,-,malignant,serviceable,troughs,cerny,knutsford
détente,+,sustain,-,squirrels,revitalize,disrupt,exhumation,extract
sturluson,+,thermodynamic,-,acquired,incontinence,grasses,zaragoza,1115
buckle,+,anupama,-,professional,sciarretto,hirsh,lean,estar
harmonize,+,pondicherry,-,terrance,dine,mica,polled,containers
dividend,+,cerebral,-,υ,mockery,loophole,disturb,butt
laughed,+,ijn,-,storied,mistakenly,forecasters,braces,slammiversary
functionally,+,gadag,-,dem,industrially,meaningful,rapped,resplendent
benn,+,delfino,-,pugh,kroll,magee,guido,'ordre
mount,+,haynes,-,hips,hazelton,giuseppe,fbs,either
reasonable,+,fripp,-,mitsuru,generous,strict,packets,robust
austere,+,dyneley,-,prices,metafictional,avory,fordham,winry
steels,+,orchestrated,-,abbot,blockbuster,carted,blacklist,ignited
enclosed,+,tournament,-,fairfield,unlocked,accreted,c5,organised
padmarasa,+,rendition,-,raviv,retelling,sensuality,overking,sampler
beloved,+,second,-,deserts,third,favorite,autograph,truly
robbers,+,refrained,-,approximate,leoni,suárez,refuelled,differs
monticola,+,stucco,-,sportscaster,kermes,ganapati,pumilio,justine
quimby,+,harriet,-,.38,angrily,kirby,carrington,warsaw
odeon,+,downpour,-,aerodromes,spooner,libbed,quickness,vuelta
dmitry,+,throated,-,slugging,hamza,obergruppenführer,jitsu,seminars
means,+,winery,-,talents,possum,energia,swahili,scuba
wooden,+,minutiae,-,shakira,erecting,fortified,trajectories,pickup
alternating,+,reshef,-,fluctuations,wolfe,beatty,melissenos,associate
engels,+,veal,-,riparian,berger,garrett,jaimie,snowshoes
interrogating,+,scripts,-,eolian,suggestions,forgave,pronged,rafales
subunits,+,welcome,-,skates,allusions,virgilian,dreams,mildly
budd,+,geek,-,hyundai,rosen,masamune,rpgfan,hundreds
1587,+,emblems,-,jynx,syndication,1544,devonshire,cologne
abduction,+,daylights,-,natalia,assailants,shadowlands,transept,bridgeheads
fulfil,+,landscape,-,'oyly,segregation,transformative,debunk,inhibitions
listing,+,londonderry,-,hoot,kokoda,kokoda,investing,297
achievements,+,osrd,-,ste,rewards,accomplishments,bsap,eights
otters,+,longer,-,hindering,fewer,hoshi,soteriology,fewer
generosity,+,kamen,-,rbi,baudelaire,perceives,outrageously,gurls
hickman,+,cnidarians,-,isthmus,clicks,misused,võ,spinebill
prewar,+,ley,-,saga,stevedores,rallied,leyton,alle
unprofor,+,exacted,-,folios,idf,disrupting,leask,remakes
baan,+,1265,-,topographic,1618,1399,hamworthy,1957
purposely,+,interviews,-,softball,photos,interviewers,align,feud
laredo,+,hapless,-,usurping,esperance,thickets,1126,bournemouth
hydnellum,+,atic,-,laevigatum,weedy,atac,mari,x2
menacing,+,himmler,-,munro,ordinarily,eguchi,unlawfully,genial
homelessness,+,seemingly,-,thalberg,cord,prosthetic,crazed,gunshot
signified,+,retrospect,-,race,speculating,hindsight,1786,barns
tiled,+,grouchy,-,harshly,cun,thru,sts,bristles
majorca,+,linkin,-,disadvantageous,buena,arkansas,leclerc,caras
seabirds,+,computation,-,raced,morphology,vocalisations,asclepius,christine
casablanca,+,michálek,-,kidnapper,oceaneering,ritter,orderly,biopsy
tyburn,+,diarrhea,-,congeners,1125,anu,1075,dewar
centerfield,+,polarised,-,wolfram,underperformed,troika,autocar,routers
maki,+,cob,-,sonate,naoki,triglycerides,policymakers,slain
quasi,+,indianapolis,-,affectionate,champaign,champaign,rainy,1174
directors,+,bricius,-,quichotte,trustees,governors,prebendary,chasse
mayhew,+,shenzhen,-,carefully,kendal,fredericksburg,lisbon,resided
dealerships,+,albee,-,kinnear,inkpen,hopefully,spedding,assure
biddenden,+,motorsports,-,erect,visconti,plummer,inconsistently,ellerbeck
anil,+,conrail,-,jamming,wooster,catalonia,akashi,ke
yoshimi,+,narrate,-,slate,presaged,see,obstruct,manipulate
bluemantle,+,songbird,-,filed,impeccable,marauders,lol,fearless
jynx,+,unhindered,-,kinda,nycticebus,gran,ecclesiae,postulated
aspired,+,097,-,recordings,016,826,joliot,kbe
'connor,+,ranches,-,oseary,wolverton,anatolian,incandescent,milky
overbearing,+,annually,-,cargoes,pageant,rosemond,lament,arbitrary
encom,+,thunderbirds,-,pompey,episodic,ozploitation,carswell,drexel
britten,+,blunders,-,vendors,hawkes,decimus,clio,oedipus
grin,+,menagerie,-,culverhouse,commotion,bailiff,volksbank,pouch
sieg,+,stances,-,aviators,stari,patterdale,dutton,hillbilly
thunderstorms,+,fujiwhara,-,tiers,thunderstorm,concussion,prokaryotes,classmate
pastry,+,boothstown,-,nature,uig,fiume,starburst,ironspire
stanza,+,aeronaves,-,taranaki,hikari,fleur,heinlein,cajal
weeks,+,repaired,-,1088,months,months,wiped,months
define,+,laramie,-,enjoyment,designate,odot,laverton,prefer
karjakin,+,clinically,-,fishermen,crowbar,richly,miscalculation,1716
bitter,+,santoshi,-,beiste,disturbing,sharpened,lignin,wet
subsisted,+,minimal,-,frenchmen,inhibited,slight,formflow,contested
horrendous,+,deported,-,crater,shunned,willingly,beefsteaks,hoping
teak,+,hellfire,-,meigetsuki,plating,munitions,oerlikons,venom
valiente,+,gnaeus,-,alphonse,wever,moderator,punishing,wear
still,+,purring,-,primera,seldom,uniformly,unoriginal,actually
produce,+,knowledgeable,-,wyoming,impart,impart,excuse,possess
osborne,+,hiker,-,579,latham,strachey,couplet,harbinger
compute,+,bottling,-,hausa,calculate,achieve,coalesce,readable
catechisms,+,sociological,-,un,interludes,cutscenes,patio,kermit
formidable,+,003,-,antioxidant,contre,747,martialed,solicitor
plays,+,counselors,-,65,mentors,cures,revisit,communicated
zhongshan,+,mcgovern,-,lossiemouth,egbert,mudie,mimation,datchet
arashiro,+,attach,-,beyond,intercede,fetch,moorfields,andrzej
nickels,+,parochial,-,authentic,holyhead,oahu,1523,guianan
paw,+,risking,-,hesitation,payette,huron,goaltenders,mauled
sketch,+,forgave,-,sai,plotline,sparked,deems,entailed
mean,+,apiece,-,niš,exceeds,d4,metrical,clinical
perspective,+,steamboats,-,niggers,unincorporated,perturbations,beleaguered,fundy
friedman,+,licked,-,seaborg,unrecognizable,customarily,monsieur,mali
baptist,+,laid,-,h.w,interred,burned,righting,erected
vengi,+,apply,-,alcoholism,calculate,reconnoitre,reenact,persist
limantour,+,lawsuits,-,sshws,petitions,inexperienced,unoriginal,akkad
bandstand,+,anonymity,-,325th,fetish,coffeehouse,hollies,bassoon
skillful,+,electroplating,-,academies,decurrent,stout,1236,fireball
slumped,+,covering,-,puma,punting,dispatching,clemmons,curves
'honneur,+,schubert,-,arkansas,'être,lamento,bemoaned,'abbetot
pnt,+,targeting,-,involve,ws,amerikanischer,numbering,controller
felon,+,satan,-,leroy,crutch,centerpiece,formulaic,climactic
somerset,+,isosceles,-,31st,pantocrator,normality,lebesgue,588
pratt,+,chairwoman,-,sos,reid,chairman,geschwaderkommodore,disparate
cravins,+,richards,-,unfavourably,kern,schlesinger,cucurbits,norriss
leclerc,+,hasel,-,m249s,vivian,butcher,knopf,donovan
shotgun,+,capitalizing,-,maori,clearer,rests,plebiscite,stephanie
cowie,+,paddies,-,cooter,collieries,destitute,paralyze,bubbling
macy,+,salim,-,unavoidable,showrunners,hodgkin,tourmalet,mccay
kinsman,+,reinvented,-,outsourcing,tammy,pursuivant,insults,shoes
delivered,+,repression,-,duopoly,prosecuted,pimp,assemblage,cleared
jerky,+,dawkins,-,zobel,ginger,garlic,longden,suzume
1576,+,1948,-,winhill,1886,1876,kessenich,1954
brewer,+,siraj,-,shodan,sharpe,gu,anatolian,epirote
develops,+,wabd,-,z.,devises,wiggs,sakuraba,pitch
serrated,+,restigouche,-,hacking,modèle,kommandøren,snipes,mardonius
learns,+,aware,-,juniata,tells,reminds,ghastly,learned
interviewed,+,retrograde,-,sole,heckled,danced,annihilated,attaching
frédéric,+,ensued,-,standstill,cassius,div,lucie,unprotected
ɪ,+,paramedics,-,sonia,vials,ʊ,wootton,rackets
claudio,+,watten,-,plugs,sully,hastings,counterattacked,phrynion
braved,+,notice,-,t1,reinstatement,contradiction,stalemate,fundraiser
snape,+,valentine,-,activity,atkinson,gibson,lazy,hermaphrodite
emo,+,genesis,-,lisbon,doo,ee,isomorphic,maze
basava,+,pf,-,leaning,bromide,propithecus,isopods,boletes
colourful,+,recur,-,monsters,cogent,plainly,plaudits,reflected
oxbow,+,stortford,-,1641,abuts,preconceived,groce,mustache
piquet,+,˚,-,reddick,gev,bermuda,redrew,schoolers
woodruff,+,aviv,-,marija,bloomington,pisa,sherri,stabilise
margaret,+,playa,-,reese,surb,joost,88th,kwon
unsigned,+,origen,-,alyeska,laurie,partido,υ,hazen
batou,+,bef,-,gleba,glosserman,woodfull,shortages,mixco
forcella,+,raycom,-,superiority,npr,pitchfork,radians,gal
disgusted,+,resurface,-,yahoo,strangled,apprehended,loosen,eased
weeds,+,swiatek,-,vinaceous,wollheim,detectives,materialise,extravagance
justice,+,saxophonist,-,unbuilt,reverend,outgoing,authoritative,european
100th,+,579,-,mutinies,451,221,confidentiality,beaty
shipton,+,protocol,-,comprehensible,mayaguez,sutler,donington,m88
hassle,+,uprisings,-,midsection,dissidents,rebellions,importantly,gta
subg,+,squandering,-,sliding,trinsey,leptophylla,robins,harpers
stat,+,decomposition,-,vocals,allosteric,cascades,magna,fertilizer
hanging,+,politiquerias,-,triceratops,procession,shied,repudiated,telescope
271,+,bhp,-,sphagnum,470,675,urbšys,surged
kuldahar,+,yarder,-,metagenome,azim,elkton,roswell,soaps
vittorio,+,severus,-,jeopardised,ferdinand,wyck,hobbes,improvise
longoria,+,fanck,-,kartikeya,parineeta,breccia,fooled,categorization
fez,+,openers,-,wharton,m2b,applicable,rowers,kesler
dash,+,352,-,sabbagh,litre,≈,ns,hippodrome
sponsoring,+,consummated,-,unaltered,mages,cared,overwhelms,reacted
fold,+,jesse,-,branched,chuck,joachim,robin,allāh
luongo,+,somalian,-,administrative,nilsson,itagaki,cassidy,sybil
enthused,+,ominously,-,objections,soothing,offstage,inexplicably,documented
clergymen,+,conglomerates,-,animalium,molestation,downloaders,parachuting,banovina
memoranda,+,concrete,-,spins,krupp,steel,fluidity,honus
bas,+,brandt,-,whitlock,juring,elect,radioisotopes,itd
gruff,+,telegram,-,arid,giacchino,turner,comatose,transplant
harkness,+,miners,-,baba,peasants,cadets,pritchard,burditt
787,+,aum,-,ascended,712,987,herbage,portraiture
dampen,+,park,-,chancellery,bother,thou,ravage,richthofen
1226,+,imply,-,ricky,predict,belong,codon,assumption
mrna,+,justus,-,coats,eligio,gmbh,j.g,nih
beli,+,starfighter,-,planting,disgraced,大空,indaba,sheared
riggi,+,mandibular,-,occurring,mulligan,storrow,stamens,evangelist
quorum,+,colloquial,-,carcharhinus,lurid,blending,narrowest,culmination
constantly,+,famously,-,clapton,deliberately,continually,noteworthy,persuaded
forwards,+,abdication,-,duets,deportation,execution,passage,transformation
drew,+,hiryū,-,cossack,garnered,gladys,istanbul,bore
nes,+,institutes,-,mortgage,computing,parameters,cinematographers,attestations
inexhaustible,+,keratin,-,tutelage,lianas,oils,irritability,079
manipulates,+,phanariote,-,fresco,harsha,vows,fenshaw,dnieper
2006gy,+,chapman,-,cleeve,colfer,farrell,forgives,tibbets
zouaves,+,bálint,-,wendell,splashes,critiquing,maginot,dovre
prose,+,12e,-,deliver,tubicen,ishtar,flathead,duc
recommend,+,louisbourg,-,navigable,prosecute,learn,inviting,pushes
remembers,+,forgetting,-,frontiersmen,understands,worried,inertial,knows
damages,+,greatfoot,-,tibetan,drownings,canberras,wiśniowiecki,usumacinta
tibet,+,collectibles,-,koprowski,marojejy,tvrđa,eternity,damascus
sayed,+,tatum,-,sinbad,sama,og,20a,1769
clegg,+,akbar,-,threat,abel,kean,alphonso,mugabe
strode,+,1740s,-,”,1370s,meantime,meantime,artillerymen
dysplasia,+,380,-,partnerships,920,957,arma,758
team,+,guitarists,-,nere,teams,teams,predominated,metric
servicemen,+,steeper,-,mack,wading,climbers,ramsbottom,pettitte
emanuel,+,reykjavík,-,annotation,bernardo,wanda,kardarigan,wim
